DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1727298294.6603246
DEBUG 2024-10-16 15:58:54,622 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1727298361.9311264
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1727298288.7132063
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\drf_spectacular\settings.py first seen with mtime 1729004022.2620642
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\jinja2\environment.py first seen with mtime 1727300772.5489314
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\jinja2\idtracking.py first seen with mtime 1727300772.556442
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\wsgiref\util.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\conf\urls\i18n.py first seen with mtime 1727298290.0754378
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\tokenize.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\inspect.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1727298293.0647159
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1727298294.5976374
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\csv.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\yaml\reader.py first seen with mtime 1727300789.866702
DEBUG 2024-10-16 15:58:54,623 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1727298294.3876474
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1727298293.050716
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1727298288.710734
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1727298294.2253914
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\urllib\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1727298288.7191243
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\email\message.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1727298294.232287
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\pytz\tzfile.py first seen with mtime 1727300787.951857
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1727298294.6999292
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\functional.py first seen with mtime 1727298294.6841123
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\mixins.py first seen with mtime 1717692852.0
